source,raw_id,account_id
billing,A0001,ACC-0001
billing,A0002,ACC-0002
billing,A0003,ACC-0003
billing,A0004,ACC-0004
billing,A0005,ACC-0005
billing,A0006,ACC-0006
billing,A0007,ACC-0007
billing,A0008,ACC-0008
billing,A0009,ACC-0009
billing,A0010,ACC-0010
billing,A0011,ACC-0011
billing,A0012,ACC-0012
billing,A0013,ACC-0013
billing,A0014,ACC-0014
billing,A0015,ACC-0015
billing,A0016,ACC-0016
billing,A0017,ACC-0017
billing,A0018,ACC-0018
billing,A0019,ACC-0019
billing,A0020,ACC-0020
billing,A0021,ACC-0021
billing,A0022,ACC-0022
billing,A0023,ACC-0023
billing,A0024,ACC-0024
billing,A0025,ACC-0025
billing,A0026,ACC-0026
billing,A0027,ACC-0027
billing,A0028,ACC-0028
billing,A0029,ACC-0029
billing,A0030,ACC-0030
billing,A0031,ACC-0031
billing,A0032,ACC-0032
billing,A0033,ACC-0033
billing,A0034,ACC-0034
billing,A0035,ACC-0035
billing,A0036,ACC-0036
billing,A0037,ACC-0037
billing,A0038,ACC-0038
billing,A0039,ACC-0039
billing,A0040,ACC-0040
billing,A0041,ACC-0041
billing,A0042,ACC-0042
billing,A0043,ACC-0043
billing,A0044,ACC-0044
billing,A0045,ACC-0045
billing,A0046,ACC-0046
billing,A0047,ACC-0047
billing,A0048,ACC-0048
billing,A0049,ACC-0049
billing,A0050,ACC-0050
billing,A0051,ACC-0051
billing,A0052,ACC-0052
billing,A0053,ACC-0053
billing,A0054,ACC-0054
billing,A0055,ACC-0055
billing,A0056,ACC-0056
billing,A0057,ACC-0057
billing,A0058,ACC-0058
billing,A0059,ACC-0059
billing,A0060,ACC-0060
billing,A0061,ACC-0061
billing,A0062,ACC-0062
billing,A0063,ACC-0063
billing,A0064,ACC-0064
billing,A0065,ACC-0065
billing,A0066,ACC-0066
billing,A0067,ACC-0067
billing,A0068,ACC-0068
billing,A0069,ACC-0069
billing,A0070,ACC-0070
billing,A0071,ACC-0071
billing,A0072,ACC-0072
billing,A0073,ACC-0073
billing,A0074,ACC-0074
billing,A0075,ACC-0075
billing,A0076,ACC-0076
billing,A0077,ACC-0077
billing,A0078,ACC-0078
billing,A0079,ACC-0079
billing,A0080,ACC-0080
billing,A0081,ACC-0081
billing,A0082,ACC-0082
billing,A0083,ACC-0083
billing,A0084,ACC-0084
billing,A0085,ACC-0085
billing,A0086,ACC-0086
billing,A0087,ACC-0087
billing,A0088,ACC-0088
billing,A0089,ACC-0089
billing,A0090,ACC-0090
billing,A0091,ACC-0091
billing,A0092,ACC-0092
billing,A0093,ACC-0093
billing,A0094,ACC-0094
billing,A0095,ACC-0095
billing,A0096,ACC-0096
billing,A0097,ACC-0097
billing,A0098,ACC-0098
billing,A0099,ACC-0099
billing,A0100,ACC-0100
billing,A0101,ACC-0101
billing,A0102,ACC-0102
billing,A0103,ACC-0103
billing,A0104,ACC-0104
billing,A0105,ACC-0105
billing,A0106,ACC-0106
billing,A0107,ACC-0107
billing,A0108,ACC-0108
billing,A0109,ACC-0109
billing,A0110,ACC-0110
billing,A0111,ACC-0111
billing,A0112,ACC-0112
billing,A0113,ACC-0113
billing,A0114,ACC-0114
billing,A0115,ACC-0115
billing,A0116,ACC-0116
billing,A0117,ACC-0117
billing,A0118,ACC-0118
billing,A0119,ACC-0119
billing,A0120,ACC-0120
